arvore,nomes,altura,dap
251,aroeira-salsa,31,15
252,aroeira-salsa,35,12
253,aroeira-salsa,29,10
254,aroeira-salsa,27,6
255,aroeira-salsa,32,14
256,aroeira-salsa,25,14
257,aroeira-salsa,31,15
258,aroeira-salsa,33,6
259,aroeira-salsa,28,10
260,aroeira-salsa,30,10
261,aroeira-salsa,33,8
262,aroeira-salsa,31,14
263,aroeira-salsa,30,10
264,aroeira-salsa,26,9
265,aroeira-salsa,32,8
266,aroeira-salsa,27,13
267,aroeira-salsa,27,6
268,aroeira-salsa,31,7
269,aroeira-salsa,32,6
270,aroeira-salsa,33,14
271,aroeira-salsa,30,15
272,aroeira-salsa,31,15
273,aroeira-salsa,27,8
274,aroeira-salsa,28,6
275,aroeira-salsa,26,12
276,aroeira-salsa,35,9
277,aroeira-salsa,33,14
278,aroeira-salsa,25,12
279,aroeira-salsa,27,11
280,aroeira-salsa,34,10
281,aroeira-salsa,35,10
282,aroeira-salsa,25,9
283,aroeira-salsa,31,12
284,aroeira-salsa,27,15
285,aroeira-salsa,31,13
286,aroeira-salsa,32,8
287,aroeira-salsa,31,9
288,aroeira-salsa,26,9
289,aroeira-salsa,31,7
290,aroeira-salsa,26,8
291,aroeira-salsa,26,10
292,aroeira-salsa,33,11
293,aroeira-salsa,30,12
294,aroeira-salsa,33,8
295,aroeira-salsa,35,9
296,aroeira-salsa,33,11
297,aroeira-salsa,28,6
298,aroeira-salsa,25,6
299,aroeira-salsa,31,15
300,aroeira-mansa,52,10
301,aroeira-mansa,15,8
302,aroeira-mansa,46,15
303,aroeira-mansa,38,8
304,aroeira-mansa,52,9
305,aroeira-mansa,58,14
306,aroeira-mansa,38,11
307,aroeira-mansa,33,7
308,aroeira-mansa,52,9
309,aroeira-mansa,60,7
310,aroeira-mansa,11,6
311,aroeira-mansa,40,12
312,aroeira-mansa,48,13
313,aroeira-mansa,10,14
314,aroeira-mansa,37,15
315,aroeira-mansa,51,15
316,aroeira-mansa,46,10
317,aroeira-mansa,28,12
318,aroeira-mansa,13,12
319,aroeira-mansa,22,13
320,aroeira-mansa,29,15
321,aroeira-mansa,60,7
322,aroeira-mansa,26,14
323,aroeira-mansa,40,7
324,aroeira-mansa,42,12
325,aroeira-mansa,18,13
326,aroeira-mansa,46,8
327,aroeira-mansa,28,13
328,aroeira-mansa,39,10
329,aroeira-mansa,58,10
330,aroeira-mansa,60,6
331,aroeira-mansa,57,14
332,aroeira-mansa,17,7
333,aroeira-mansa,21,6
334,aroeira-mansa,19,6
335,aroeira-mansa,32,7
336,aroeira-mansa,35,11
337,aroeira-mansa,23,11
338,aroeira-mansa,53,6
339,aroeira-mansa,25,8
340,aroeira-mansa,22,11
341,aroeira-mansa,36,6
342,aroeira-mansa,38,15
343,aroeira-mansa,14,6
344,aroeira-mansa,52,7
345,aroeira-mansa,17,9
346,aroeira-mansa,46,12
347,aroeira-mansa,53,7
348,aroeira-mansa,51,14
349,aroeira-mansa,43,6
350,aroeira-mansa,58,10
351,aroeira-mansa,60,9
352,aroeira-mansa,58,12
353,aroeira-mansa,15,8
354,aroeira-mansa,27,14
355,aroeira-mansa,10,8
356,aroeira-mansa,55,10
357,aroeira-mansa,58,10
358,aroeira-mansa,42,6
359,aroeira-mansa,33,14
360,aroeira-mansa,56,14
361,aroeira-mansa,59,8
362,aroeira-mansa,14,7
363,aroeira-mansa,13,11
364,aroeira-mansa,30,8
365,aroeira-mansa,17,15
366,aroeira-mansa,11,8
367,aroeira-mansa,53,13
368,aroeira-mansa,12,14
369,aroeira-mansa,17,9
370,aroeira-mansa,38,7
371,aroeira-mansa,20,13
372,aroeira-mansa,30,6
373,aroeira-mansa,57,7
374,aroeira-mansa,28,13
375,aroeira-mansa,40,15
376,aroeira-mansa,10,10
377,aroeira-mansa,29,8
378,aroeira-mansa,18,8
379,aroeira-mansa,10,8
380,aroeira-mansa,43,15
381,aroeira-mansa,29,14
382,aroeira-mansa,44,11
383,aroeira-mansa,28,15
384,aroeira-mansa,39,8
385,aroeira-mansa,50,6
386,aroeira-mansa,12,11
387,aroeira-mansa,52,13
388,aroeira-mansa,13,11
389,aroeira-mansa,32,9
390,aroeira-mansa,29,14
391,aroeira-mansa,52,12
392,aroeira-mansa,16,6
393,aroeira-mansa,24,9
394,aroeira-mansa,52,14
395,aroeira-mansa,33,6
396,aroeira-mansa,33,13
397,aroeira-mansa,54,7
398,aroeira-mansa,32,9
399,aroeira-mansa,43,7
400,aroeira-mansa,39,8
401,aroeira-mansa,44,10
402,aroeira-mansa,56,8
403,aroeira-mansa,55,15
404,aroeira-mansa,38,10
405,aroeira-mansa,35,13
406,aroeira-mansa,12,8
407,aroeira-mansa,21,15
408,aroeira-mansa,26,9
409,aroeira-mansa,48,11
410,aroeira-mansa,41,15
411,aroeira-mansa,54,14
412,aroeira-mansa,10,15
413,aroeira-mansa,58,8
414,cajazeiro,61,11
415,cajazeiro,68,13
416,cajazeiro,61,15
417,cajazeiro,65,14
418,cajazeiro,64,14
419,cajazeiro,68,14
420,cajazeiro,67,14
421,cajazeiro,65,14
422,cajazeiro,66,15
423,cajazeiro,69,14
424,cajazeiro,66,13
425,cajazeiro,69,12
426,cajazeiro,64,12
427,cajazeiro,63,15
428,cajazeiro,60,12
429,cajazeiro,65,13
430,cajazeiro,67,15
431,cajazeiro,62,14
432,cajazeiro,67,14
433,cajazeiro,69,15
434,cajazeiro,66,14
435,cajazeiro,65,14
436,cajazeiro,61,15
437,cajazeiro,60,14
438,cajazeiro,60,10
439,cajazeiro,62,14
440,cajazeiro,65,12
441,cajazeiro,61,14
442,cajazeiro,70,10
443,cajazeiro,63,12
444,cajazeiro,62,14
445,cajazeiro,68,11
446,cajazeiro,69,14
447,cajazeiro,64,15
448,cajazeiro,64,15
449,cajazeiro,61,12
450,cajazeiro,67,13
451,cajazeiro,66,10
452,cajazeiro,69,10
453,cajazeiro,63,11
454,cajazeiro,64,15
455,cajazeiro,70,11
456,cajazeiro,62,12
457,cajazeiro,68,13
458,cajazeiro,60,14
459,cajazeiro,64,11
460,cajazeiro,62,11
461,cajazeiro,66,14
462,cajazeiro,63,12
463,cajazeiro,64,10
464,cajazeiro,62,12
465,cajazeiro,64,13
466,cajazeiro,62,12
467,cajazeiro,66,13
468,cajazeiro,66,13
469,cajazeiro,65,11
470,cajazeiro,62,14
471,cajazeiro,65,15
472,cajazeiro,63,12
473,cajazeiro,65,11
474,cajazeiro,60,14
475,cajazeiro,64,13
476,cajazeiro,68,12
477,cajazeiro,68,11
478,cajazeiro,70,15
479,cajazeiro,66,12
480,cajazeiro,70,14
481,cajazeiro,63,13
482,cajazeiro,62,10
483,cajazeiro,62,12
484,cajazeiro,68,11
485,cajazeiro,68,12
486,cajazeiro,62,15
487,cajazeiro,68,13
488,cajazeiro,62,15
489,cajazeiro,69,12
490,cajazeiro,63,13
491,cajazeiro,70,13
492,cajazeiro,67,14
493,cajazeiro,67,11
494,cajazeiro,65,11
495,cajazeiroSP,90,15
496,cajazeiroSP,118,16
497,cajazeiroSP,71,27
498,cajazeiroSP,78,12
499,cajazeiroSP,71,20
500,cajazeiroSP,90,17
501,cajazeiroSP,96,23
502,cajazeiroSP,114,22
503,cajazeiroSP,95,19
504,cajazeiroSP,93,10
505,cajazeiroSP,89,25
506,araticunzinho,24,9
507,araticunzinho,24,9
508,araticunzinho,24,10
509,araticunzinho,24,8
510,araticunzinho,21,7
511,araticunzinho,21,10
512,araticunzinho,23,6
513,araticunzinho,22,8
514,araticunzinho,21,9
515,araticunzinho,24,9
516,araticunzinho,22,9
517,araticunzinho,21,6
518,araticunzinho,20,9
519,araticunzinho,25,8
520,araticunzinho,23,9
521,araticunzinho,25,8
522,araticunzinho,20,10
523,araticunzinho,22,7
524,araticunzinho,23,10
525,araticunzinho,24,10
526,araticunzinho,21,10
527,araticunzinho,25,10
528,araticunzinho,21,8
529,araticunzinho,24,6
530,araticunzinho,23,6
531,araticunzinho,23,10
532,araticunzinho,22,9
533,araticunzinho,24,10
534,araticunzinho,22,9
535,araticunzinho,24,7
536,araticunzinho,21,8
537,araticunzinho,23,10
538,araticunzinho,25,10
539,araticunzinho,20,9
540,araticunzinho,24,7
541,araticunzinho,23,7
542,araticunzinho,23,9
546,araticunzinho,22,8
547,araticunzinho,21,8
548,araticunzinho,22,7
549,araticunzinho,25,7
550,araticunzinho,23,9
551,araticunzinho,25,9
552,araticunzinho,20,8
553,araticunzinho,20,6
554,araticunzinho,24,10
555,araticum,13,11
556,araticum,12,13
557,araticum,15,11
558,araticum,15,8
559,araticum,10,14
560,araticum,13,8
561,araticum,9,15
562,araticum,13,8
563,araticum,15,13
564,araticum,12,11
565,araticum,15,8
566,araticum,11,9
567,araticum,14,14
568,araticum,10,15
569,araticum,15,15
570,araticum,13,11
571,araticum,13,8
572,araticum,10,12
573,araticum,11,9
574,araticum,12,9
575,araticum,15,12
576,araticum,14,12
577,araticum,14,11
578,araticum,10,8
579,araticum,9,10
580,araticum,12,15
581,araticum,15,13
582,araticum,9,9
583,araticum,14,15
584,araticum,9,14
585,araticum,14,14
586,araticum,13,12
587,araticum,13,15
588,araticum,9,9
589,araticum,9,11
590,araticum,10,11
591,araticum,9,14
592,araticum,15,8
593,araticum,9,8
594,araticum,13,13
595,araticum,10,14
596,araticum,9,12
597,araticum,12,11
598,araticum,15,14
599,araticum,15,14
600,araticum,11,9
601,araticum,9,13
602,araticum,10,8
603,araticum,11,9
604,araticum,13,10
605,araticum,13,12
606,araticum,15,12
607,araticum,9,13
608,araticum,12,11
609,araticum,12,13
610,araticum,14,8
611,araticum,9,9
612,araticum,12,10
613,araticum,15,10
614,araticum,9,11
615,araticum,12,15
616,araticum,13,10
617,araticum,10,11
618,araticum,10,13
619,araticum,14,8
620,araticum,15,13
621,araticum,14,9
622,araticum,11,9
623,araticum,9,8
624,araticum,11,8
625,araticum,14,13
626,araticum,11,15
627,araticum,14,13
628,"cotica,Pinha-da-mata",44,4
629,"cotica,Pinha-da-mata",47,5
630,"cotica,Pinha-da-mata",50,3
631,"cotica,Pinha-da-mata",44,5
632,"cotica,Pinha-da-mata",44,5
633,"cotica,Pinha-da-mata",50,5
634,"cotica,Pinha-da-mata",42,5
635,"cotica,Pinha-da-mata",43,5
636,"cotica,Pinha-da-mata",42,3
637,"cotica,Pinha-da-mata",49,4
638,"cotica,Pinha-da-mata",44,5
639,"cotica,Pinha-da-mata",46,3
640,"cotica,Pinha-da-mata",50,4
641,"cotica,Pinha-da-mata",44,5
642,"cotica,Pinha-da-mata",47,6
643,"cotica,Pinha-da-mata",43,3
644,"cotica,Pinha-da-mata",46,4
645,"cotica,Pinha-da-mata",48,6
646,"cotica,Pinha-da-mata",50,5
647,"cotica,Pinha-da-mata",47,5
648,"cotica,Pinha-da-mata",48,5
649,"cotica,Pinha-da-mata",46,5
650,"cotica,Pinha-da-mata",46,6
651,"cotica,Pinha-da-mata",44,5
652,"cotica,Pinha-da-mata",46,4
653,"cotica,Pinha-da-mata",48,6
654,"cotica,Pinha-da-mata",40,6
655,"cotica,Pinha-da-mata",40,3
656,"cotica,Pinha-da-mata",48,5
657,"cotica,Pinha-da-mata",44,3
658,"cotica,Pinha-da-mata",44,5
659,"cotica,Pinha-da-mata",43,3
660,"cotica,Pinha-da-mata",42,3
661,"cotica,Pinha-da-mata",49,5
662,"cotica,Pinha-da-mata",40,3
663,"cotica,Pinha-da-mata",44,3
664,"cotica,Pinha-da-mata",41,4
665,"cotica,Pinha-da-mata",40,3
666,"cotica,Pinha-da-mata",47,4
667,"cotica,Pinha-da-mata",48,6
668,"cotica,Pinha-da-mata",40,3
669,"cotica,Pinha-da-mata",48,5
670,"cotica,Pinha-da-mata",50,6
671,"cotica,Pinha-da-mata",45,6
672,"cotica,Pinha-da-mata",41,4
673,"cotica,Pinha-da-mata",47,5
674,"cotica,Pinha-da-mata",47,3
675,"cotica,Pinha-da-mata",44,3
676,"cotica,Pinha-da-mata",47,3
677,"cotica,Pinha-da-mata",48,3
678,"cotica,Pinha-da-mata",47,4
679,"cotica,Pinha-da-mata",43,3
680,"cotica,Pinha-da-mata",45,3
681,"cotica,Pinha-da-mata",46,6
682,"cotica,Pinha-da-mata",43,3
683,"cotica,Pinha-da-mata",43,6
684,"cotica,Pinha-da-mata",48,6
685,"cotica,Pinha-da-mata",50,3
686,"cotica,Pinha-da-mata",49,6
687,"cotica,Pinha-da-mata",44,3
688,"cotica,Pinha-da-mata",47,4
689,"cotica,Pinha-da-mata",50,5
690,"cotica,Pinha-da-mata",50,4
691,"cotica,Pinha-da-mata",48,3
692,"cotica,Pinha-da-mata",46,5
693,"cotica,Pinha-da-mata",46,3
694,"cotica,Pinha-da-mata",46,6
695,"cotica,Pinha-da-mata",40,3
696,"cotica,Pinha-da-mata",45,6
697,"cotica,Pinha-da-mata",40,6
698,"cotica,Pinha-da-mata",48,5
699,"cotica,Pinha-da-mata",40,6
700,"cotica,Pinha-da-mata",42,5
701,"cotica,Pinha-da-mata",47,5
702,"cotica,Pinha-da-mata",42,4
703,"cotica,Pinha-da-mata",43,5
704,"cotica,Pinha-da-mata",50,3
705,araticum-do-mato,30,8
706,araticum-do-mato,31,7
707,araticum-do-mato,38,8
708,araticum-do-mato,39,6
709,araticum-do-mato,37,7
710,araticum-do-mato,30,8
711,araticum-do-mato,34,6
712,araticum-do-mato,30,6
713,araticum-do-mato,33,6
714,araticum-do-mato,40,6
715,araticum-do-mato,35,7
716,araticum-do-mato,33,8
717,araticum-do-mato,38,7
718,araticum-do-mato,32,7
719,araticum-do-mato,30,7
720,araticum-do-mato,36,6
721,araticum-do-mato,38,8
722,araticum-do-mato,36,6
723,araticum-do-mato,30,7
724,araticum-do-mato,36,8
725,araticum-do-mato,35,8
726,araticum-do-mato,37,8
727,araticum-do-mato,32,7
728,araticum-do-mato,32,7
729,araticum-do-mato,36,8
730,araticum-do-mato,36,6
731,araticum-do-mato,30,8
732,araticum-do-mato,34,7
733,araticum-do-mato,40,6
734,araticum-do-mato,30,8
735,araticum-do-mato,34,6
736,araticum-do-mato,33,8
737,araticum-do-mato,31,6
738,araticum-do-mato,38,7
739,araticum-do-mato,38,8
740,araticum-do-mato,32,7
741,araticum-do-mato,38,7
742,araticum-do-mato,30,6
743,araticum-do-mato,30,6
744,araticum-do-mato,32,7
745,araticum-do-mato,34,6
746,araticum-do-mato,33,6
747,araticum-do-mato,36,7
748,araticum-do-mato,35,6
749,araticum-do-mato,36,8
750,araticum-do-mato,33,8
751,araticum-do-mato,31,8
752,araticum-do-mato,31,8
753,araticum-do-mato,34,6
754,araticum-do-mato,36,7
755,araticum-do-mato,32,8
756,araticum-do-mato,32,7
757,araticum-do-mato,30,7
758,araticum-do-mato,36,8
759,araticum-do-mato,38,8
760,araticum-do-mato,40,6
761,araticum-do-mato,32,8
762,araticum-do-mato,38,7
763,araticum-do-mato,36,8
764,araticum-do-mato,39,6
765,araticum-do-mato,36,7
766,araticum-do-mato,36,7
767,araticum-do-mato,38,6
768,araticum-do-mato,40,6
769,araticum-do-mato,33,6
770,araticum-do-mato,30,6
771,araticum-do-mato,31,8
772,araticum-do-mato,31,7
773,araticum-do-mato,34,6
774,araticum-do-mato,32,6
775,araticum-do-mato,30,6
776,araticum-do-mato,36,6
777,araticum-do-mato,31,8
778,araticum-do-mato,36,6
779,araticum-do-mato,39,7
780,araticum-do-mato,34,6
781,araticum-do-mato,37,6
782,araticum-do-mato,33,6
783,araticum-do-mato,36,7
784,araticum-do-mato,30,6
785,araticum-do-mato,32,7
786,araticum-do-mato,37,8
787,araticum-do-mato,34,7
788,araticum-do-mato,35,8
789,araticum-do-mato,36,6
790,araticum-do-mato,35,7
791,araticum-do-mato,34,8
792,araticum-do-mato,31,8
793,araticum-do-mato,39,8
794,araticum-do-mato,39,7
795,araticum-do-mato,34,6
796,araticum-do-mato,34,6
797,araticum-do-mato,38,8
798,araticum-do-mato,34,7
799,araticum-do-mato,40,7
800,araticum-do-mato,37,8
801,araticum-do-mato,37,6
802,araticum-do-mato,36,7
803,araticum-do-mato,36,6
804,araticum-do-mato,37,7
805,pindaiba-preta,36,6
806,pindaiba-preta,36,7
807,pindaiba-preta,39,12
808,pindaiba-preta,38,6
809,pindaiba-preta,37,5
810,pindaiba-preta,34,11
811,pindaiba-preta,39,11
812,pindaiba-preta,31,5
813,pindaiba-preta,31,11
814,pindaiba-preta,38,6
815,pindaiba-preta,31,3
816,pindaiba-preta,32,8
817,pindaiba-preta,35,5
818,pindaiba-preta,30,12
819,pindaiba-preta,32,8
820,pindaiba-preta,38,7
821,pindaiba-preta,30,11
822,pindaiba-preta,38,9
823,pindaiba-preta,34,10
824,pindaiba-preta,30,9
825,pindaiba-preta,32,7
826,pindaiba-preta,35,11
827,pindaiba-preta,30,3
828,pindaiba-preta,30,10
829,pindaiba-preta,37,7
830,pindaiba-preta,39,4
831,pindaiba-preta,37,7
832,pindaiba-preta,31,6
833,pindaiba-preta,36,9
834,pindaiba-preta,38,3
835,pindaiba-preta,36,5
836,pindaiba-preta,38,7
837,pindaiba-preta,38,11
838,pindaiba-preta,39,8
839,pindaiba-preta,37,4
840,pindaiba-preta,40,4
841,pindaiba-preta,37,12
842,pindaiba-preta,40,4
843,pindaiba-preta,39,8
844,pindaiba-preta,39,5
845,pindaiba-preta,30,12
846,pindaiba-preta,36,7
847,pindaiba-preta,35,4
848,pindaiba-preta,32,3
849,pindaiba-preta,39,11
850,pindaiba-preta,35,9
851,pindaiba-preta,35,8
852,pindaiba-preta,39,5
853,pindaiba-preta,39,8
854,pindaiba-preta,33,8
855,pindaiba-preta,37,4
856,pindaiba-preta,38,5
857,pindaiba-preta,35,8
858,pindaiba-preta,38,4
859,pindaiba-preta,34,8
860,pindaiba-preta,35,9
861,pindaiba-preta,35,7
862,pindaiba-preta,35,12
863,pindaiba-preta,35,8
864,pindaiba-preta,34,4
865,pindaiba-preta,34,3
866,pindaiba-preta,36,4
867,pindaiba-preta,40,10
868,pindaiba-preta,36,3
869,pindaiba-preta,30,3
870,pindaiba-preta,37,8
871,pindaiba-preta,31,12
872,pindaiba-preta,33,7
873,pindaiba-preta,40,8
874,pindaiba-preta,35,7
875,pindaiba-preta,31,3
876,pindaiba-preta,36,8
877,pindaiba-preta,31,12
878,pindaiba-preta,32,10
879,pindaiba-preta,35,9
880,pindaiba-preta,34,10
881,pindaiba-preta,34,11
882,pindaiba-preta,36,8
883,pindaiba-preta,37,12
884,pindaiba-preta,33,12
885,pindaiba-preta,30,4
886,pindaiba-preta,39,12
887,pindaiba-preta,38,10
888,pindaiba-preta,37,12
889,pindaiba-preta,37,6
890,pindaiba-preta,35,9
891,pindaiba,60,20
892,pindaiba,52,17
893,pindaiba,42,11
894,pindaiba,47,20
895,pindaiba,44,15
896,pindaiba,54,18
897,pindaiba,40,15
898,pindaiba,46,18
899,pindaiba,59,14
900,pindaiba,44,18
901,pindaiba,60,13
902,pindaiba,57,17
903,pindaiba,59,20
904,pindaiba,45,10
905,pindaiba,58,9
906,pindaiba,55,12
907,pindaiba,53,12
908,pindaiba,51,18
909,pindaiba,52,11
910,pindaiba,43,14
911,pindaiba,45,13
912,pindaiba,55,17
913,pindaiba,58,18
914,pindaiba,41,19
915,pindaiba,40,9
916,pindaiba,54,9
917,pindaiba,52,20
918,pindaiba,42,9
919,pindaiba,50,16
920,pindaiba,52,9
921,pindaiba,46,9
922,pindaiba,54,19
923,pindaiba,55,18
924,pindaiba,51,15
925,pindaiba,43,15
926,pindaiba,59,18
927,pindaiba,51,19
928,pindaiba,59,13
929,pindaiba,46,18
930,pindaiba,49,10
931,pindaiba,50,19
932,pindaiba,51,19
933,pindaiba,51,14
934,pindaiba,51,11
935,pindaiba,47,14
936,pindaiba,48,16
937,pindaiba,59,17
938,pindaiba,40,16
939,guatambu,90,30
940,guatambu,90,21
941,guatambu,88,24
942,guatambu,70,26
943,guatambu,87,23
944,guatambu,72,25
945,guatambu,88,27
946,guatambu,82,28
947,guatambu,83,25
948,guatambu,83,21
949,guatambu,79,26
950,guatambu,88,22
951,guatambu,88,29
952,guatambu,87,30
953,guatambu,83,20
954,guatambu,74,26
955,guatambu,81,26
956,guatambu,71,20
957,guatambu,70,25
958,guatambu,87,29
959,guatambu,75,22
960,guatambu,87,29
961,guatambu,75,25
962,guatambu,74,29
963,guatambu,74,21
964,guatambu,82,26
965,guatambu,90,27
966,guatambu,85,27
967,guatambu,81,30
968,guatambu,79,22
969,guatambu,75,27
970,guatambu,84,23
971,guatambu,71,25
972,guatambu,70,23
973,guatambu,80,26
974,guatambu,79,28
975,guatambu,70,22
976,guatambu,89,29
977,guatambu,83,29
978,guatambu,75,28
979,guatambu,70,24
980,guatambu,75,27
981,guatambu,78,30
982,guatambu,75,27
983,guatambu,77,26
984,guatambu,71,30
985,guatambu,88,29
